Arsalan Kazemi,PF,arsalan-kazemi,2013,-1.113387768,0.000761458,0.05234262,0.371871609,0.575024313
Ray McCallum,PG,ray-mccallum,2013,-1.113494711,0,0.061821626,0.366471375,0.571707
Mike Muscala,PF,mike-muscala,2013,-1.116139235,0.001540374,0.037592367,0.397360688,0.56350657
Lorenzo Brown,PG,2-lorenzo-brown,2013,-1.127627385,0.0007427,0.050603228,0.365403135,0.583250937
Kenny Kadji,PF,kenny-kadji,2013,-1.138419153,0,0.047545839,0.389572967,0.562881194
Khalif Wyatt,SG,khalif-wyatt,2013,-1.140869965,0,0.048994705,0.381852178,0.569153117
Brandon Davies,PF,brandon-davies,2013,-1.154171176,0.000844981,0.027603772,0.403711974,0.567839273
Rodney Williams,SF,4-rodney-williams,2013,-1.158410735,0,0.046943383,0.36018012,0.592876497
Laurence Bowers,SF,laurence-bowers,2013,-1.17514428,6.65635E-05,0.056893896,0.346354614,0.596684926
James Ennis,SF,james-ennis,2013,-1.176969681,0,0.036649456,0.378062379,0.585288164
Colton Iverson,C,colton-iverson,2013,-1.177163018,0.004160936,0.047608351,0.339127856,0.609102857
Brandon Paul,SG,brandon-paul,2013,-1.190408681,0.000506708,0.033261671,0.39150879,0.574722831
Erick Green,PG,erick-green,2013,-1.201441963,0,0.032744568,0.382569601,0.584685831
Amath M`Baye,SF,amath-m-baye,2013,-1.205039414,0.000272116,0.022421276,0.394267316,0.583039293
Carrick Felix,SG,carrick-felix,2013,-1.208663593,0,0.039530919,0.360240658,0.600228423
Robert Covington,SF,robert-covington,2013,-1.212712709,0,0.046616042,0.333632043,0.619751915
Jamelle Hagins,PF,jamelle-hagins,2013,-1.225318468,0,0.018641152,0.389021757,0.59233709
Michael Snaer,SG,michael-snaer,2013,-1.249049599,0.000278975,0.037805886,0.348607287,0.613307852
Ramon Galloway,PG,ramon-galloway,2013,-1.249319754,0,0.027981426,0.354329482,0.617689092
Will Cherry,PG,will-cherry,2013,-1.259595794,0.00013371,0.028317073,0.350351012,0.621198206
C.J. Leslie,SF,cj-leslie,2013,-1.260952605,0,0.040435679,0.323628107,0.635936215
Dewayne Dedmon,C,dewayne-dedmon,2013,-1.263695161,0,0.039272621,0.320209109,0.64051827
Elias Harris,SF,elias-harris,2013,-1.267952853,0.000774874,0.025412883,0.349452706,0.624359537
Richard Howell,PF,richard-howell,2013,-1.288215577,0,0.044641474,0.299999163,0.655359363
Ed Daniel,PF,daniel-edward,2013,-1.301542821,0.000466873,0.029791772,0.321661022,0.648080333
Jackie Carmichael,PF,jackie-carmichael,2013,-1.356107188,0.000141893,0.014838132,0.324852085,0.66016789
Romero Osby,PF,romero-osby,2013,-1.367231132,0,0.014427001,0.318924131,0.666648869
Zeke Marshall,C,zeke-marshall,2013,-1.410949701,0,0.019962324,0.281362774,0.698674902
Rodney Stuckey,SG,rodney-stuckey,2007,0.102143221,0.09202755,0.270807367,0.217030878,0.420134204
