Player,Position,ID,Draft Year,Projected SPM,Superstar,Starter,Role Player,Bust
Chris Walker,PF,5-chris-walker,2015,-0.75113066,0.001166667,0.157566667,0.353433333,0.487833333
T.J. McConnell,PG,tj-mcconnell,2015,-0.760484149,0.002670752,0.102511805,0.43556844,0.459249003
J.P. Tokoto,SF,jp-tokoto,2015,-0.785873736,0.000673629,0.107998383,0.431220506,0.460107482
Pat Connaughton,SF,pat-connaughton,2015,-0.833781871,0.000664804,0.08891347,0.432599715,0.47782201
R.J. Hunter,SG,rj-hunter,2015,-0.836776877,0.004112703,0.121239491,0.385605421,0.489042385
Jerian Grant,PG,jerian-grant,2015,-0.869777062,0.001169979,0.130352495,0.345982451,0.522495076
Olivier Hanlan,SG,olivier-hanlan,2015,-0.939601082,0.000227369,0.058708643,0.482292406,0.458771582
Branden Dawson,SF,branden-dawson,2015,-0.94832171,0.000308971,0.093166238,0.391170861,0.51535393
Robert Upshaw,C,robert-upshaw,2015,-0.953017497,0.000216394,0.088032316,0.38180529,0.529946
Tyler Harvey,SG,tyler-harvey,2015,-0.963286998,0,0.045680357,0.485580914,0.468738729
Darrun Hilliard,SG,darrun-hilliard,2015,-0.997597057,0.001336934,0.058581954,0.430904831,0.509176281
Tyler Haws,SG,tyler-haws,2015,-1.014375418,0.001035564,0.038756025,0.476593937,0.483614474
Treveon Graham,SG,treveon-graham,2015,-1.026896912,0.001371164,0.075528744,0.379480354,0.543619737
Rakeem Christmas,PF,rakeem-christmas,2015,-1.037407078,0.000103674,0.074800607,0.399359049,0.52573667
Kenneth Smith,PG,3-kenneth-smith,2015,-1.039547879,0.000746776,0.073520453,0.35809779,0.567634981
Michael Qualls,SG,3-michael-qualls,2015,-1.041676256,0.005867204,0.056290419,0.39026949,0.547572888
Aaron White,PF,5-aaron-white,2015,-1.044431359,0.000858212,0.090374546,0.358788407,0.549978835
